timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
788972000,788972000,1310988,-0.1257012,-0.0005326322,0.060720075,13.198517,0,1
789972000,789972000,1310988,-0.061252706,0.0037284256,0.044208474,13.197327,0,1
790972000,790972000,1310988,-0.03089267,0.0026631611,-0.03195793,13.196655,0,1
791972000,791972000,1310988,0.002130529,0.00479369,-0.0015978967,13.196106,0,1
792972000,792972000,1310988,0.0031957934,-0.0015978967,-0.025566347,13.195618,0,1
793972000,793972000,1310988,0.010652645,-0.0005326322,0.0,13.195404,0,1
794972000,794972000,1310988,0.0,-0.0005326322,-0.0037284256,13.195221,0,1
795972000,795972000,1310988,0.007456851,-0.0058589545,-0.002130529,13.194946,0,1
796972000,796972000,1310988,-0.0031957934,0.0037284256,-0.0037284256,13.194733,0,1
797972000,797972000,1310988,-0.0063915867,0.002130529,0.0010652645,13.194611,0,1
798972000,798972000,1310988,0.0010652645,-0.0010652645,-0.0010652645,13.194672,0,1
799972000,799972000,1310988,0.0,0.0015978967,0.00479369,13.194885,0,1
800972000,800972000,1310988,-0.0031957934,0.00479369,0.0058589545,13.195038,0,1
801972000,801972000,1310988,-0.0005326322,0.0053263223,0.0005326322,13.195251,0,1
802972000,802972000,1310988,-0.0015978967,0.0005326322,0.0037284256,13.195526,0,1
803972000,803972000,1310988,-0.002130529,0.0015978967,-0.0015978967,13.19574,0,1
804972000,804972000,1310988,-0.00479369,0.0010652645,-0.0005326322,13.196014,0,1
805972000,805972000,1310988,0.0026631611,-0.0037284256,-0.0031957934,13.1961975,0,1
806972000,806972000,1310988,0.0058589545,-0.0015978967,0.0,13.196411,0,1
807972000,807972000,1310988,0.0026631611,-0.0026631611,-0.0005326322,13.196594,0,1
808972000,808972000,1310988,0.0005326322,0.0015978967,0.0031957934,13.196777,0,1
809972000,809972000,1310988,0.0037284256,0.0053263223,-0.002130529,13.19693,0,1
810972000,810972000,1310988,0.00479369,0.0031957934,0.0005326322,13.1970215,0,1
811972000,811972000,1310988,-0.0058589545,-0.0005326322,0.0053263223,13.1970825,0,1
812972000,812972000,1310988,-0.0031957934,0.007456851,-0.002130529,13.197144,0,1
813972000,813972000,1310988,-0.0005326322,0.00479369,0.0037284256,13.197266,0,1
814972000,814972000,1310988,-0.0010652645,0.0037284256,0.0010652645,13.197418,0,1
815972000,815972000,1310988,-0.0010652645,0.0005326322,0.0031957934,13.197449,0,1
816972000,816972000,1310988,0.0,-0.0037284256,-0.0026631611,13.19751,0,1
817972000,817972000,1310988,0.0005326322,0.0053263223,0.0031957934,13.197571,0,1
818972000,818972000,1310988,0.004261058,0.0053263223,0.0026631611,13.19751,0,1
819972000,819972000,1310988,0.004261058,-0.0005326322,0.0031957934,13.197449,0,1
820972000,820972000,1310988,-0.0031957934,0.0015978967,-0.0015978967,13.197449,0,1
821972000,821972000,1310988,0.0010652645,-0.0063915867,0.0058589545,13.197266,0,1
822972000,822972000,1310988,0.0058589545,0.0026631611,-0.0015978967,13.197266,0,1
823972000,823972000,1310988,0.0031957934,0.0037284256,-0.002130529,13.197174,0,1
824972000,824972000,1310988,-0.0015978967,0.0,-0.0063915867,13.1970825,0,1
825972000,825972000,1310988,0.0,0.0015978967,0.0037284256,13.19696,0,1
