timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
11500000,11500000,804000,36.3215774,127.4117224,-0.009074712,0.001452168,0.034229685,0.00039837,6.51E-05,0,0.000654643,0.005111753,0.005132327,0.011599497,-0.001178325,-0.008305827,-0.011701867,0.027562004,-0.006856416,0.024342908,1.5584116,0.000198782,28.71612,0.10482785,0.48361626,0.5107254,0.27346185,0.18568523,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12000000,12000000,804000,36.3215774,127.4117224,-0.002387299,-0.002234747,0.03991357,0.00039837,6.51E-05,0,0.003721681,2.36E-05,0.006998353,0.012843975,-0.001178325,-0.008305827,-0.011701867,0.023201928,-0.025169762,0.017545184,1.5580426,0.000198782,28.71612,0.10181993,0.49493074,0.5145068,0.28397086,0.18468922,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12500000,12500000,804000,36.3215774,127.4117224,0.002611924,-0.00209469,0.03519594,0.00039837,6.51E-05,0,0.00730654,-0.000128766,0.007381538,0.002776473,-0.001178325,-0.008305827,-0.011701867,0.049832646,-0.0722828,0.048825514,1.5576582,0.000198782,28.71612,0.1,0.50810266,0.5128682,0.29317385,0.18230075,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13000000,13000000,804000,36.3215774,127.4117224,0.004291102,-0.010491519,0.031318594,0.00039837,6.51E-05,0,0.00579476,-0.006113082,0.004554327,-0.003150838,-0.001178325,-0.008305827,-0.011701867,0.019650744,0.023597334,-0.046191733,1.5567752,0.000198782,28.71612,0.1,0.52294666,0.51696074,0.3012571,0.18053472,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13500000,13500000,804000,36.3215774,127.4117224,5.60E-05,-0.012699663,0.040270373,0.00039837,6.51E-05,0,0.002827389,-0.008384771,0.015885374,0.01359685,-0.001178325,-0.008305827,-0.011701867,-0.04059105,-0.019721435,0.021674668,1.5555415,0.000198782,28.71612,0.1,0.47794482,0.503439,0.25000396,0.16645248,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14000000,14000000,804000,36.3215774,127.4117224,0.001969075,-0.019262172,0.040308177,0.00039837,6.51E-05,0,0.004691339,-0.012794245,0.017672444,0.00918218,-0.001178325,-0.008305827,-0.011701867,0.005013497,-0.03850199,-0.001569278,1.5556026,0.000198782,28.71612,0.1,0.49035782,0.5076119,0.25717163,0.16511706,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14500000,14500000,804000,36.3215774,127.4117224,0.001371829,-0.023003662,0.039727513,0.00039837,6.51E-05,0,0.002883555,-0.015586276,0.012260002,0.000135404,-0.001178325,-0.008305827,-0.011701867,0.03227802,0.010818868,-0.06453785,1.5551771,0.000198782,28.71612,0.1,0.50401723,0.51132876,0.2637483,0.16349238,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15000000,15000000,804000,36.3215774,127.4117224,0.005444512,-0.017763361,0.040966127,0.00039837,6.51E-05,0,0.007242185,-0.006875739,0.01596672,0.00542078,-0.001178325,-0.008305827,-0.011701867,-0.060058806,0.019978257,0.07433537,1.55521,0.000198782,28.71612,0.1,0.5188085,0.5145794,0.26970845,0.16165535,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15500000,15500000,804000,36.3215774,127.4117224,0.007637357,-0.010962873,0.050066385,0.00039837,6.51E-05,0,0.013372476,-0.001054283,0.01889211,0.012206094,-0.001178325,-0.008305827,-0.011701867,-0.013931591,0.020853978,-0.054172236,1.5551808,0.000198782,28.71612,0.1,0.47614995,0.49731573,0.22995646,0.15008323,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
16000000,16000000,804000,36.3215774,127.4117224,0.008435645,-0.010231356,0.05007072,0.00039837,6.51E-05,0,0.013067396,-0.007206813,0.01912826,0.007855767,-0.001178325,-0.008305827,-0.011701867,-0.025840139,-0.008625669,0.073869705,1.5549867,0.000198782,28.71612,0.1,0.4886808,0.50025284,0.2356242,0.14868814,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
16500000,16500000,804000,36.3215774,127.4117224,0.008072184,-0.009498959,0.053978346,0.00039837,6.51E-05,0,0.012815176,-0.004856607,0.016235907,0.005744943,-0.001178325,-0.008305827,-0.011701867,-0.02364287,-0.03837296,0.09413715,1.5539515,0.000198782,28.71612,0.1,0.50213766,0.50307053,0.24098958,0.14724669,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
17000000,17000000,804000,36.3215774,127.4117224,0.0072618,-0.004109559,0.04911609,0.00039837,6.51E-05,0,0.012673697,-0.000751261,0.014587015,-0.001430234,-0.001178325,-0.008305827,-0.011701867,0.004504856,-0.02124525,-0.046579164,1.5544491,0.000198782,28.71612,0.1,0.5164437,0.5054469,0.24601033,0.14569287,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
17500000,17500000,804000,36.3215774,127.4117224,0.006838686,-0.004146689,0.045780294,0.00039837,6.51E-05,0,0.009932285,-0.007220691,0.014476643,-0.001969526,-0.001178325,-0.008305827,-0.011701867,0.020828968,-0.06333965,0.029609537,1.5546113,0.000198782,28.71612,0.1,0.47542083,0.49485025,0.21415113,0.13744055,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18000000,18000000,804000,36.3215774,127.4117224,0.004479547,-0.005927539,0.05173245,0.00039837,6.51E-05,0,0.005103835,-0.011894058,0.019345745,0.008766677,-0.001178325,-0.008305827,-0.011701867,0.02411835,0.026276378,0.09034573,1.5547644,0.000198782,28.71612,0.101423845,0.48774043,0.4967661,0.21910384,0.13630937,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
18500000,18500000,804000,36.3215774,127.4117224,0.001925077,-0.010712563,0.05863359,0.00039837,6.51E-05,0,0.002167729,-0.015971702,0.01895197,0.009789643,-0.001178325,-0.008305827,-0.011701867,0.035330456,-0.039831765,0.002975575,1.5541884,0.000198782,28.71612,0.1,0.5007988,0.4983872,0.22391468,0.13526864,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
19000000,19000000,804000,36.3215774,127.4117224,-0.010066457,-0.017414033,0.059429616,0.00039837,6.51E-05,0,-0.005970992,-0.02445519,0.020872712,0.008427424,-0.001178325,-0.008305827,-0.011701867,0.032596856,0.008575655,0.026412306,1.5541961,0.000198782,28.71612,0.1,0.5145528,0.50013006,0.22859064,0.13447224,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
19500000,19500000,804000,36.3215774,127.4117224,-0.011175534,-0.016117748,0.060106594,0.00039837,6.51E-05,0,-0.006189818,-0.024029113,0.026022153,0.010098363,-0.001178325,-0.008305827,-0.011701867,-0.015788227,-0.008434161,0.052481886,1.5539259,0.000198782,28.71612,0.1,0.47488514,0.49100795,0.2020878,0.12850581,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
20000000,20000000,804000,36.3215774,127.4117224,-0.007681229,-0.012591923,0.059674647,0.00039837,6.51E-05,0,-0.002050292,-0.015104002,0.030001353,0.008641546,-0.001178325,-0.008305827,-0.011701867,-0.041739583,0.049979195,-0.023460945,1.5538892,0.000198782,28.71612,0.1,0.48689255,0.49265677,0.20675999,0.12833215,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
20500000,20500000,804000,36.3215774,127.4117224,-0.006314511,-0.006968486,0.06112612,0.00039837,6.51E-05,0,-0.004228274,-0.01103737,0.032222524,0.008342369,-0.001178325,-0.008305827,-0.011701867,0.029990459,-0.009321484,0.011967494,1.554374,0.000198782,28.71612,0.1,0.45840323,0.48483217,0.19022897,0.12387841,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
21000000,21000000,804000,36.3215774,127.4117224,-0.002751082,-0.002242453,0.07064574,0.00039837,6.51E-05,0,-0.000524774,-0.007515206,0.033846885,0.015156643,-0.001178325,-0.008305827,-0.011701867,0.05109592,-0.04410219,0.05163252,1.5543551,0.000198782,28.71612,0.10079054,0.47588837,0.4868776,0.200534,0.124826916,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
21500000,21500000,804000,36.3215774,127.4117224,0.000365232,-0.003127663,0.07729479,0.00039837,6.51E-05,0,0.006033618,-0.012728184,0.03630748,0.016789764,-0.001178325,-0.008305827,-0.011701867,-0.029099764,0.045615606,-0.06758328,1.5543249,0.000198782,28.71612,0.1,0.45114952,0.4760471,0.1860522,0.12092635,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
